ticker,event_date,event_label,pre_uncond_vol_pct,post_uncond_vol_pct,pre_persistence,post_persistence
NVDA,2022-10-07,BIS new export controls on advanced chips to China,,3.653831109167483,0.9941127929142655,0.7817550694387764
AMD,2022-10-07,BIS new export controls on advanced chips to China,,4.171283405112876,0.9931994730656657,0.5686027925103991
ASML,2022-10-07,BIS new export controls on advanced chips to China,,,0.9973693739387178,0.9818766180421263
TSM,2022-10-07,BIS new export controls on advanced chips to China,,2.439882963538683,0.9979057168330088,0.7985288498235292
NVDA,2023-10-17,"BIS tightens 2022 rules, closes loopholes",3.265839015717217,3.478980750499647,1.1781847067022755e-15,0.7772221885076737
AMD,2023-10-17,"BIS tightens 2022 rules, closes loopholes",,3.1261576560418494,0.9872090276796046,0.7985477956220755
ASML,2024-01-01,Netherlands (ASML) revokes some China export licences,,2.41992490375765,0.9820111450511863,0.6257846870496783
TSM,2024-01-01,Netherlands (ASML) revokes some China export licences,1.5752051391509772,2.377882374643373,0.9097427339194237,0.057851772212377646
NVDA,2024-12-02,BIS adds new restrictions on chipmaking equipment/HBM,3.3303186107682037,4.41641901603374,0.9697013761146258,0.8289416451494847
ASML,2024-12-02,BIS adds new restrictions on chipmaking equipment/HBM,3.302241182238832,2.9339474450402783,0.1475764982814575,0.8176124483370213
